customer_id,first_name,last_name,phone,email,is_active,
1001,Brittany,Mcdonald,6.39E+11,andersonmary@hotmail.com,TRUE,"{1001,""Brittany"",""Mcdonald"",""639389000000"",""andersonmary@hotmail.com"",true},"
1002,Brenda,Hunt,6.39E+11,nicole82@hotmail.com,TRUE,"{1002,""Brenda"",""Hunt"",""639210000000"",""nicole82@hotmail.com"",true},"
1003,Yvette,Martin,6.40E+11,lynn34@hotmail.com,TRUE,"{1003,""Yvette"",""Martin"",""639751000000"",""lynn34@hotmail.com"",true},"
1004,Jose,Young,6.39E+11,brentmoore@merritt.org,FALSE,"{1004,""Jose"",""Young"",""639307000000"",""brentmoore@merritt.org"",false},"
1005,Keith,Snyder,6.40E+11,meganwest@gmail.com,FALSE,"{1005,""Keith"",""Snyder"",""639851000000"",""meganwest@gmail.com"",false},"
1006,Terry,Price,6.39E+11,gcurry@yahoo.com,TRUE,"{1006,""Terry"",""Price"",""639357000000"",""gcurry@yahoo.com"",true},"
1007,James,Adams,6.39E+11,lindafoley@yahoo.com,TRUE,"{1007,""James"",""Adams"",""639460000000"",""lindafoley@yahoo.com"",true},"
1008,Robert,Smith,6.39E+11,olee@evans.net,FALSE,"{1008,""Robert"",""Smith"",""639425000000"",""olee@evans.net"",false},"
1009,Teresa,Macias,6.40E+11,dannyrichard@cummings.net,TRUE,"{1009,""Teresa"",""Macias"",""639894000000"",""dannyrichard@cummings.net"",true},"
1010,Frank,Williams,6.40E+11,perezemily@bass-taylor.com,TRUE,"{1010,""Frank"",""Williams"",""639966000000"",""perezemily@bass-taylor.com"",true},"
1011,Catherine,Roberts,6.39E+11,ashleymartinez@hotmail.com,TRUE,"{1011,""Catherine"",""Roberts"",""639161000000"",""ashleymartinez@hotmail.com"",true},"
1012,Shane,Pitts,6.39E+11,caleb86@gmail.com,TRUE,"{1012,""Shane"",""Pitts"",""639179000000"",""caleb86@gmail.com"",true},"
1013,Edwin,Tate,6.39E+11,aharvey@hodges.com,TRUE,"{1013,""Edwin"",""Tate"",""639349000000"",""aharvey@hodges.com"",true},"
1014,Anthony,Ward,6.40E+11,uharris@duncan.biz,FALSE,"{1014,""Anthony"",""Ward"",""639631000000"",""uharris@duncan.biz"",false},"
1015,Brianna,Nelson,6.39E+11,terri57@simmons-davis.info,TRUE,"{1015,""Brianna"",""Nelson"",""639446000000"",""terri57@simmons-davis.info"",true},"
1016,Kevin,Clark,6.39E+11,ryan78@hotmail.com,TRUE,"{1016,""Kevin"",""Clark"",""639015000000"",""ryan78@hotmail.com"",true},"
1017,Heather,Simmons,6.40E+11,xcastaneda@west.info,TRUE,"{1017,""Heather"",""Simmons"",""639532000000"",""xcastaneda@west.info"",true},"
1018,Jessica,Short,6.39E+11,rwhite@hotmail.com,TRUE,"{1018,""Jessica"",""Short"",""639118000000"",""rwhite@hotmail.com"",true},"
1019,Andrea,Smith,6.40E+11,petercombs@gmail.com,TRUE,"{1019,""Andrea"",""Smith"",""639807000000"",""petercombs@gmail.com"",true},"
1020,Bryan,Johnson,6.39E+11,oryan@yahoo.com,TRUE,"{1020,""Bryan"",""Johnson"",""639030000000"",""oryan@yahoo.com"",true},"
1021,Angela,Hughes,6.40E+11,yharris@gmail.com,TRUE,"{1021,""Angela"",""Hughes"",""639536000000"",""yharris@gmail.com"",true},"
1022,Kathryn,Nelson,6.39E+11,johncollins@gmail.com,TRUE,"{1022,""Kathryn"",""Nelson"",""639384000000"",""johncollins@gmail.com"",true},"
1023,Matthew,Boone,6.40E+11,priceleah@gmail.com,TRUE,"{1023,""Matthew"",""Boone"",""639514000000"",""priceleah@gmail.com"",true},"
1024,Travis,Russell,6.40E+11,michaelwebb@yahoo.com,TRUE,"{1024,""Travis"",""Russell"",""639699000000"",""michaelwebb@yahoo.com"",true},"
1025,Tamara,Mitchell,6.39E+11,johnny95@walters.org,TRUE,"{1025,""Tamara"",""Mitchell"",""639092000000"",""johnny95@walters.org"",true},"
1026,Adam,Schneider,6.40E+11,bassjohn@hotmail.com,FALSE,"{1026,""Adam"",""Schneider"",""639523000000"",""bassjohn@hotmail.com"",false},"
1027,Anna,Martinez,6.39E+11,qsmith@yahoo.com,TRUE,"{1027,""Anna"",""Martinez"",""639395000000"",""qsmith@yahoo.com"",true},"
1028,Carla,Reed,6.39E+11,richardsonnatalie@stokes.org,FALSE,"{1028,""Carla"",""Reed"",""639081000000"",""richardsonnatalie@stokes.org"",false},"
1029,Ryan,Ayala,6.39E+11,stevenalvarez@rodriguez.com,TRUE,"{1029,""Ryan"",""Ayala"",""639452000000"",""stevenalvarez@rodriguez.com"",true},"
1030,Jennifer,Williams,6.40E+11,fosterrobert@hotmail.com,FALSE,"{1030,""Jennifer"",""Williams"",""639505000000"",""fosterrobert@hotmail.com"",false},"
1031,Kelly,James,6.39E+11,cruzamy@gmail.com,FALSE,"{1031,""Kelly"",""James"",""639199000000"",""cruzamy@gmail.com"",false},"
1032,Steven,Moore,6.39E+11,rallen@yahoo.com,FALSE,"{1032,""Steven"",""Moore"",""639458000000"",""rallen@yahoo.com"",false},"
1033,Angela,Ochoa,6.39E+11,timothywilliams@yahoo.com,FALSE,"{1033,""Angela"",""Ochoa"",""639025000000"",""timothywilliams@yahoo.com"",false},"
1034,Elizabeth,Duncan,6.39E+11,jessicavasquez@yahoo.com,TRUE,"{1034,""Elizabeth"",""Duncan"",""639225000000"",""jessicavasquez@yahoo.com"",true},"
1035,Cynthia,Roberts,6.39E+11,webertracy@davidson-boyer.net,TRUE,"{1035,""Cynthia"",""Roberts"",""639151000000"",""webertracy@davidson-boyer.net"",true},"
1036,Arthur,Moore,6.39E+11,morriswilliam@jones.com,TRUE,"{1036,""Arthur"",""Moore"",""639296000000"",""morriswilliam@jones.com"",true},"
1037,Drew,Lewis,6.40E+11,andersonjill@yahoo.com,FALSE,"{1037,""Drew"",""Lewis"",""639910000000"",""andersonjill@yahoo.com"",false},"
1038,Jill,Johnson,6.40E+11,andrewsangela@mclean.org,FALSE,"{1038,""Jill"",""Johnson"",""639920000000"",""andrewsangela@mclean.org"",false},"
1039,Alexander,Young,6.39E+11,millerkayla@zimmerman.biz,TRUE,"{1039,""Alexander"",""Young"",""639430000000"",""millerkayla@zimmerman.biz"",true},"
1040,Penny,Gomez,6.40E+11,moorekimberly@mendoza.com,FALSE,"{1040,""Penny"",""Gomez"",""639897000000"",""moorekimberly@mendoza.com"",false},"
1041,Lauren,Austin,6.39E+11,bauerlorraine@gmail.com,TRUE,"{1041,""Lauren"",""Austin"",""639401000000"",""bauerlorraine@gmail.com"",true},"
1042,Christopher,Woods,6.39E+11,baileykristen@yahoo.com,TRUE,"{1042,""Christopher"",""Woods"",""639464000000"",""baileykristen@yahoo.com"",true},"
1043,Mark,Harper,6.39E+11,lisaquinn@dennis-velez.com,TRUE,"{1043,""Mark"",""Harper"",""639308000000"",""lisaquinn@dennis-velez.com"",true},"
1044,Sharon,Thompson,6.39E+11,linda31@yahoo.com,FALSE,"{1044,""Sharon"",""Thompson"",""639124000000"",""linda31@yahoo.com"",false},"
1045,Allison,Fuentes,6.39E+11,lmckenzie@chapman-moss.org,TRUE,"{1045,""Allison"",""Fuentes"",""639187000000"",""lmckenzie@chapman-moss.org"",true},"
1046,Shawn,Lambert,6.40E+11,lawrencekathleen@moore.com,TRUE,"{1046,""Shawn"",""Lambert"",""639573000000"",""lawrencekathleen@moore.com"",true},"
1047,Adam,Christensen,6.39E+11,sloandiana@gmail.com,TRUE,"{1047,""Adam"",""Christensen"",""639089000000"",""sloandiana@gmail.com"",true},"
1048,Kayla,Evans,6.40E+11,larryfrank@gmail.com,TRUE,"{1048,""Kayla"",""Evans"",""639826000000"",""larryfrank@gmail.com"",true},"
1049,Katherine,Acosta,6.39E+11,adamsdennis@hotmail.com,FALSE,"{1049,""Katherine"",""Acosta"",""639109000000"",""adamsdennis@hotmail.com"",false},"
1050,Kara,Hernandez,6.39E+11,james72@craig.com,FALSE,"{1050,""Kara"",""Hernandez"",""639308000000"",""james72@craig.com"",false},"
1051,Cheryl,Hernandez,6.39E+11,moorebrian@gmail.com,FALSE,"{1051,""Cheryl"",""Hernandez"",""639047000000"",""moorebrian@gmail.com"",false},"
1052,Lisa,Ramirez,6.39E+11,jamescampbell@yahoo.com,TRUE,"{1052,""Lisa"",""Ramirez"",""639302000000"",""jamescampbell@yahoo.com"",true},"
1053,Courtney,Clark,6.39E+11,greenjeffrey@hotmail.com,TRUE,"{1053,""Courtney"",""Clark"",""639401000000"",""greenjeffrey@hotmail.com"",true},"
1054,Joshua,Watson,6.39E+11,baileyroger@yahoo.com,TRUE,"{1054,""Joshua"",""Watson"",""639072000000"",""baileyroger@yahoo.com"",true},"
1055,Larry,Woods,6.39E+11,gwarren@thomas-larson.info,FALSE,"{1055,""Larry"",""Woods"",""639003000000"",""gwarren@thomas-larson.info"",false},"
1056,John,Dawson,6.40E+11,ricardo34@riley.com,FALSE,"{1056,""John"",""Dawson"",""639552000000"",""ricardo34@riley.com"",false},"
1057,Kathleen,Payne,6.40E+11,justinthomas@richardson-greer.com,FALSE,"{1057,""Kathleen"",""Payne"",""639676000000"",""justinthomas@richardson-greer.com"",false},"
1058,Michelle,Edwards,6.39E+11,christine12@hammond-boyd.com,TRUE,"{1058,""Michelle"",""Edwards"",""639245000000"",""christine12@hammond-boyd.com"",true},"
1059,Jessica,Lin,6.39E+11,ischultz@gmail.com,FALSE,"{1059,""Jessica"",""Lin"",""639127000000"",""ischultz@gmail.com"",false},"
1060,Mike,Mason,6.39E+11,williamsjames@hotmail.com,TRUE,"{1060,""Mike"",""Mason"",""639194000000"",""williamsjames@hotmail.com"",true},"
1061,Karen,Gilbert,6.39E+11,taguilar@gmail.com,TRUE,"{1061,""Karen"",""Gilbert"",""639469000000"",""taguilar@gmail.com"",true},"
